niveau,wort,artikel,turkce,formen,typ,beispiele,eintrag,quelle
A1,ab,,"-den itibaren, -den beri",,Sonstiges,Ab morgen haben wir Ferien.,,
A1,aber,,"ama, fakat",,Sonstiges,"Der Film ist traurig, aber sehr schön.",,
A1,abfahren,,"hareket etmek, kalkmak",,Sonstiges,Der Zug fährt gleich ab.,,
A1,abgeben,,"teslim etmek, vermek",,Sonstiges,Kann ich das Buch hier abgeben?,,
A1,abholen,,"almak, karşılamak",,Sonstiges,Ich hole dich am Bahnhof ab.,,
A1,Achtung,die,dikkat,(Sg.),Nomen,Achtung! Jetzt fängt es an.,,
A1,Adresse,die,adres,-n,Nomen,Ich weiß die Adresse nicht.,,
A1,Ahnung,die,"fikir, tahmin",-en,Nomen,Ich habe keine Ahnung!,,
A1,alle,,"hepsi, herkes",,Sonstiges,Sind alle da? Hast du alles?,,
A1,allein,,yalnız,,Sonstiges,Er arbeitet gern allein.,,
A1,also,,"yani, öyleyse",,Sonstiges,"Wir haben viel Platz, du kannst also bei uns schlafen.",,
A1,alt,,"yaşlı, eski",,Sonstiges,Wie alt bist du? Unser Haus ist sehr alt.,,
A1,Alter,das,yaş,(Sg.),Nomen,1. Wir sind etwa im gleichen Alter. 2. Alter: 26 Jahre,,
A1,an,,"-de, -da; -e, -a",,Sonstiges,Am Sonntag/am Abend/am Anfang/am Meer/ am Fenster/an den See/am Marktplatz,,
A1,ander-,,"diğer, başka",,Sonstiges,"Gefällt dir die Jacke? / Nein, die andere finde ich schöner.",,
A1,Anfang,der,başlangıç,"ä, -e",Nomen,Am Anfang ist das Buch langweilig.,,
A1,anfangen,,başlamak,,Sonstiges,Fangt bitte mit Übung 12 an. / Fängst du an?,,
A1,Angst,die,korku,"ä, -e",Nomen,Hab keine Angst! Ich habe Angst vor großen Hunden.,,
A1,ankommen,,varmak,,Sonstiges,Wann kommt ihr in Berlin an?,,
A1,anrufen,,"aramak, telefon etmek",,Sonstiges,Ich rufe dich morgen an.,,
A1,Anruf,der,"telefon görüşmesi, arama",e,Nomen,Ich warte dann auf deinen Anruf - okay?,,
A1,Anrufbeantworter,der,telesekreter,,Nomen,Sind Nachrichten auf dem Anrufbeantworter?,,
A1,Antwort,die,"cevap, yanıt",-en,Nomen,Weißt du die Antwort?,,
A1,antworten,,"cevap vermek, yanıtlamak",,Sonstiges,Warum antwortest du nicht?,,
A1,Anzeige,die,ilan,-n,Nomen,Lies bitte die Anzeige in der Zeitung!,,
A1,Apfel,der,elma,"Ä, -",Nomen,Schmeckt dir der Apfel?,,
A1,Apotheke,die,eczane,-n,Nomen,Aspirin? Das bekommen Sie in der Apotheke.,,
A1,Appetit,der,iştah,(Sg.),Nomen,1. Ich habe heute keinen Appetit. Ich mag nichts essen. 2. Auf was hast du Appetit? Vielleicht auf einen Salat? 3. Guten,,
A1,Arbeit,die,"iş, çalışma",-en,Nomen,War die Physikarbeit schwer?,,
A1,arbeiten,,çalışmak,,Sonstiges,Mein Vater arbeitet bei einer Autofirma.,,
A1,arbeitslos,,işsiz,,Sonstiges,Meine Mutter ist arbeitslos.,,
A1,Arm,der,kol,-e,Nomen,Mein Freund hat sich den Arm gebrochen.,,
A1,Artikel,der,makale,-,Nomen,Der Artikel in der Zeitung ist sehr interessant.,,
A1,Arzt,der,"doktor, hekim","Ä, -e",Nomen,Morgen habe ich einen Termin bei meiner Ärztin.,,
A1,Ärztin,die,kadın doktor,-nen,Nomen,Die Ärztin arbeitet im Krankenhaus.,,
A1,auch,,"de, da; ayrıca",,Sonstiges,Ich möchte auch mitspielen.,,
A1,auf,,"üstünde, üzerinde",,Sonstiges,Die Zeitung ist auf dem Tisch./ Auf dem Foto bin ich mit meiner Schwester./ Wie heißt das auf Deutsch?,,
A1,aufmachen,,açmak,,Sonstiges,Kannst du bitte das Fenster aufmachen?,,
A1,aufpassen,,dikkat etmek,,Sonstiges,"Könnt ihr bitte aufpassen? Ich zeige euch, wie es geht.",,
A1,aufräumen,,"toplamak, düzenlemek",,Sonstiges,Räum bitte dein Zimmer auf.,,
A1,auf sein,,açık olmak,,Sonstiges,Das Fenster ist auf.,,
A1,aufstehen,,"kalkmak, ayağa kalkmak",,Sonstiges,Um acht Uhr stehen wir auf.,,
A1,Auge,das,göz,-n,Nomen,Seine Augen sind grün.,,
A1,aus,,"-den, -dan; içinden",,Sonstiges,Wann kommt ihr aus der Schule?/ Ich komme aus Deutschland.,,
A1,Ausflug,der,gezi,"ü, -e",Nomen,Wir machen mit der Schule einen Ausflug.,,
A1,Ausland,das,yurt dışı,(Sg.),Nomen,Mein Vater war lange im Ausland.,,
A1,aussehen,,görünmek,,Sonstiges,Das Buch sieht sehr interessant aus. Du siehst heute hübsch aus.,,
A1,aus sein,,"bitmiş olmak, sona ermek",,Sonstiges,Um ein Uhr ist die Schule aus.,,
A1,aussteigen,,inmek,,Sonstiges,Du musst am Marktplatz aussteigen.,,
A1,Auto,das,araba,-s,Nomen,Wir kommen mit dem Auto.,,
A1,Automat,der,otomat,-en,Nomen,Die Fahrkarte bekommst du am Automaten.,,
A1,Baby,das,bebek,-s,Nomen,Meine Schwester ist noch ein Baby.,,
A1,Bad,das,banyo,"ä, -er",Nomen,Wir haben kein großes Bad.,,
A1,Bahnhof,der,"tren istasyonu, gar","ö, -e",Nomen,Wir gehen zum Bahnhof.,,
A1,Bahnsteig,der,peron,-e,Nomen,Der Zug kommt auf Bahnsteig zehn an.,,
A1,bald,,yakında,,Sonstiges,Ich komme bald. Auf Wiedersehen! Bis bald!,,
A1,Ball,der,top,"ä, -e",Nomen,Wir spielen mit dem Ball.,,
A1,Banane,die,muz,-n,Nomen,Kann ich eine Banane haben? Ich habe Hunger.,,
A1,Band,die,müzik grubu,-s,Nomen,Die Schülerband spielt heute um 9.,,
A1,Basketball,der,basketbol,"ä, -e",Nomen,Meine Hobbys sind Basketball und Musik.,,
A1,basteln,,el işi yapmak,,Sonstiges,Basteln ist mein Hobby.,,
A1,Bauch,der,karın,"ä, -e",Nomen,Seit gestern tut mir der Bauch weh.,,
A1,Baum,der,ağaç,"ä, -e",Nomen,Die Bäume sind schon grün.,,
A1,bedeuten,,anlamına gelmek,,Sonstiges,Was bedeutet das Wort?,,
A1,bei,,"yanında, -de",,Sonstiges,Er wohnt bei seinen Freunden./ Sie arbeitet bei Herrn Müller.,,
A1,beide,,"her ikisi, ikisi de",,Sonstiges,"Meine Schwester und ich, wir beide sind immer zusammen.",,
A1,bekommen,,"almak, elde etmek",,Sonstiges,Was bekommst du zum Geburtstag?,,
A1,Beruf,der,meslek,-e,Nomen,Was ist deine Mutter von Beruf?,,
A1,besetzt,,"dolu, meşgul",,Sonstiges,Der Platz ist besetzt.,,
A1,besonders,,özellikle,,Sonstiges,Das finde ich besonders interessant.,,
A1,besser,,daha iyi,,Sonstiges,Hoffentlich geht es dir bald besser.,,
A1,beste,,en iyi,,Sonstiges,"der beste Schüler, die beste Freundin, das beste Buch",,
A1,besuchen,,ziyaret etmek,,Sonstiges,Im Sommer besuche ich dich.,,
A1,Bett,das,yatak,-en,Nomen,Wann gehst du ins Bett?,,
A1,bezahlen,,ödemek,,Sonstiges,Wo muss ich bezahlen?,,
A1,Bibliothek,die,kütüphane,-en,Nomen,In der Bibliothek gibt es dreißigtausend Bücher.,,
