niveau,wort,artikel,turkce,formen,typ,beispiele,eintrag,quelle
A1 (Fit in Deutsch 1),ab,,"-den itibaren, -den beri",,Sonstiges,Ab morgen haben wir Ferien.,ab,A1_Fit1.pdf
A1 (Fit in Deutsch 1),aber,,"ama, fakat",,Sonstiges,"Der Film ist traurig, aber sehr schön.",aber,A1_Fit1.pdf
A1 (Fit in Deutsch 1),abfahren,,"hareket etmek, kalkmak",,Sonstiges,Der Zug fährt gleich ab.,abfahren,A1_Fit1.pdf
A1 (Fit in Deutsch 1),abgeben,,"teslim etmek, vermek",,Sonstiges,Kann ich das Buch hier abgeben?,abgeben,A1_Fit1.pdf
A1 (Fit in Deutsch 1),abholen,,"almak, karşılamak",,Sonstiges,Ich hole dich am Bahnhof ab.,abholen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Achtung,die,dikkat,(Sg.),Nomen,Achtung! Jetzt fängt es an.,e Achtung (Sg.),A1_Fit1.pdf
A1 (Fit in Deutsch 1),Adresse,die,adres,-n,Nomen,Ich weiß die Adresse nicht.,"e Adresse, -n",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Ahnung,die,"fikir, tahmin",-en,Nomen,Ich habe keine Ahnung!,"e Ahnung, -en",A1_Fit1.pdf
A1 (Fit in Deutsch 1),alle,,"hepsi, herkes",,Sonstiges,Sind alle da? Hast du alles?,alle,A1_Fit1.pdf
A1 (Fit in Deutsch 1),allein,,yalnız,,Sonstiges,Er arbeitet gern allein.,allein,A1_Fit1.pdf
A1 (Fit in Deutsch 1),also,,"yani, öyleyse",,Sonstiges,"Wir haben viel Platz, du kannst also bei uns schlafen.",also,A1_Fit1.pdf
A1 (Fit in Deutsch 1),alt,,"yaşlı, eski",,Sonstiges,Wie alt bist du? Unser Haus ist sehr alt.,alt,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Alter,das,yaş,(Sg.),Nomen,Alter: 15 Jahre,s Alter (Sg.),A1_Fit1.pdf
A1 (Fit in Deutsch 1),an,,"-de, -da; -e, -a",,Sonstiges,Am Sonntag/am Abend/am Anfang/am Meer/ am Fenster/an den See/am Marktplatz,an,A1_Fit1.pdf
A1 (Fit in Deutsch 1),ander-,,"diğer, başka",,Sonstiges,"Gefällt dir die Jacke? / Nein, die andere finde ich schöner.",ander-,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Anfang,der,başlangıç,"ä, -e",Nomen,Am Anfang ist das Buch langweilig.,"r Anfang, ä, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),anfangen,,başlamak,,Sonstiges,Fangt bitte mit Übung 12 an. / Fängst du an?,anfangen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Angst,die,korku,"ä, -e",Nomen,Er hat Angst.,"e Angst, ä, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),ankommen,,varmak,,Sonstiges,Wann kommt ihr in Berlin an?,ankommen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),anrufen,,"aramak, telefon etmek",,Sonstiges,Ich rufe dich morgen an.,anrufen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Anruf,der,"telefon görüşmesi, arama",e,Nomen,Ich warte dann auf deinen Anruf - okay?,"r Anruf, e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Anrufbeantworter,der,telesekreter,,Nomen,Sind Nachrichten auf dem Anrufbeantworter?,r Anrufbeantworter,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Antwort,die,"cevap, yanıt",-en,Nomen,Weißt du die Antwort?,"e Antwort, -en",A1_Fit1.pdf
A1 (Fit in Deutsch 1),antworten,,"cevap vermek, yanıtlamak",,Sonstiges,Warum antwortest du nicht?,antworten,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Anzeige,die,ilan,-n,Nomen,Lies bitte die Anzeige in der Zeitung!,"e Anzeige, -n",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Apfel,der,elma,"Ä, -",Nomen,Schmeckt dir der Apfel?,"r Apfel, Ä, -",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Apotheke,die,eczane,-n,Nomen,Aspirin? Das bekommen Sie in der Apotheke.,"e Apotheke, -n",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Appetit,der,iştah,(Sg.),Nomen,Guten Appetit!,r Appetit (Sg.),A1_Fit1.pdf
A1 (Fit in Deutsch 1),Arbeit,die,"iş, çalışma",-en,Nomen,War die Physikarbeit schwer?,"e Arbeit, -en",A1_Fit1.pdf
A1 (Fit in Deutsch 1),arbeiten,,çalışmak,,Sonstiges,Mein Vater arbeitet bei einer Autofirma.,arbeiten,A1_Fit1.pdf
A1 (Fit in Deutsch 1),arbeitslos,,işsiz,,Sonstiges,Meine Mutter ist arbeitslos.,arbeitslos,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Arm,der,kol,-e,Nomen,Mein Arm tut weh.,"r Arm, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Artikel,der,makale,-,Nomen,Der Artikel in der Zeitung ist sehr interessant.,"r Artikel, -",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Arzt,der,"doktor, hekim","Ä, -e",Nomen,Er war beim Arzt.,"r Arzt, Ä, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Ärztin,die,kadın doktor,-nen,Nomen,Die Ärztin arbeitet im Krankenhaus.,"e Ärztin, -nen",A1_Fit1.pdf
A1 (Fit in Deutsch 1),auch,,"de, da; ayrıca",,Sonstiges,Ich möchte auch mitspielen.,auch,A1_Fit1.pdf
A1 (Fit in Deutsch 1),auf,,"üstünde, üzerinde",,Sonstiges,Die Zeitung ist auf dem Tisch./ Auf dem Foto bin ich mit meiner Schwester./ Wie heißt das auf Deutsch?,auf,A1_Fit1.pdf
A1 (Fit in Deutsch 1),aufmachen,,açmak,,Sonstiges,Kannst du bitte das Fenster aufmachen?,aufmachen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),aufpassen,,dikkat etmek,,Sonstiges,"Könnt ihr bitte aufpassen? Ich zeige euch, wie es geht.",aufpassen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),aufräumen,,"toplamak, düzenlemek",,Sonstiges,Räum bitte dein Zimmer auf.,aufräumen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),auf sein,,açık olmak,,Sonstiges,Das Fenster ist auf.,auf sein,A1_Fit1.pdf
