niveau,wort,artikel,turkce,formen,typ,beispiele,eintrag,quelle
A2,ab,,"-den itibaren, -den beri",,Sonstiges,Ab morgen muss ich wieder arbeiten.,ab,A2.pdf
A2,aber,,"ama, fakat",,Sonstiges,"Heute kann ich nicht kommen, aber morgen habe ich Zeit. Wir haben nur eine kleine Wohnung, sind aber damit zufrieden. Es war sehr schön. Jetzt muss ich aber gehen. Das ist aber nett von dir.",aber,A2.pdf
A2,abgeben,,"teslim etmek, vermek","gibt ab, hat abgegeben",Verb,Ich muss meinen Schlüssel an der Rezeption abgeben.,"abgeben, gibt ab, hat abgegeben",A2.pdf
A2,abholen,,"almak, karşılamak","holt ab, hat abgeholt",Verb,Wann kann ich die Sachen bei dir abholen? Wir müssen noch meinen Bruder abholen.,"abholen, holt ab, hat abgeholt",A2.pdf
A2,abschließen,,"kilitlemek, tamamlamak",,Sonstiges,Hast du die Tür abgeschlossen?,"abschließen,",A2.pdf
A2,schließt ab,,"tamamlamak, bitirmek, mezun olmak",hat abgeschlossen,Verb,Ich schließe dieses Jahr mein Studium/ meine Ausbildung ab.,"schließt ab, hat abgeschlossen",A2.pdf
A2,Achtung,,dikkat,(Sg.),Sonstiges,Achtung an Gleis drei: Die Türen schließen. Der Zug fährt jetzt ab. Achtung! Pass auf! Der Verkehr ist hier gefährlich.,Achtung (Sg.),A2.pdf
A2,Adresse,die,adres,-n,Nomen,Können Sie mir Ihre Adresse geben?,"die Adresse, -n",A2.pdf
A2,Ahnung,die,"fikir, tahmin",-en,Nomen,"Ich hatte keine Ahnung, dass du heute Geburtstag hast. Wie spät ist es? - Ich habe keine Ahnung.","die Ahnung, -en",A2.pdf
A2,aktiv,,aktif,,Sonstiges,Peter ist sehr aktiv und macht viel Sport.,aktiv,A2.pdf
A2,aktuell,,güncel,,Sonstiges,Das ist das aktuelle Kinoprogramm.,aktuell,A2.pdf
A2,all-,,"tüm, bütün, hepsi",,Sonstiges,"Ich wünsche dir alles Gute! Hast du alles? Möchten Sie noch etwas? - Nein, danke. Das ist alles. Sind alle da? - Nein, Rita fehlt noch. Alle Freunde kommen.",all-,A2.pdf
A2,allein,,yalnız,,Sonstiges,"Kommt seine Freundin mit? - Nein, er kommt allein. Soll ich Ihnen/dir helfen? - Nein danke, ich schaffe das schon allein.",allein,A2.pdf
A2,als,,"-den daha, olarak, iken",,Sonstiges,Hector ist jünger als seine Schwester. Sie arbeitet als Krankenschwester.,als,A2.pdf
A2,also,,"yani, öyleyse",,Sonstiges,"Also, die Sache ist so: … Er hat Zeit, also kann er uns helfen.",also,A2.pdf
A2,alt,,"yaşlı, eski",,Sonstiges,Wie alt sind Sie? Mein Computer ist schon sehr alt. Wir wohnen in einem ganz alten Haus. Köln ist eine alte Stadt.,alt,A2.pdf
A2,Alter,das,yaş,(Sg.),Nomen,Alter: 18 Jahre.,das Alter (Sg.),A2.pdf
A2,Ampel,die,trafik ışığı,-n,Nomen,"Du kannst fahren, die Ampel ist grün. Nach der Ampel musst du nach links fahren.","die Ampel, -n",A2.pdf
A2,an,,"-de, -da; -e, -a",,Sonstiges,Fahren Sie an der nächsten Kreuzung nach rechts. Wir treffen uns am Bahnhof/am Kino/am Stand. Am nächsten Montag geht es leider nicht. Das Licht war die ganze Nacht an.,an,A2.pdf
A2,anbieten,,"sunmak, ikram etmek",bietet an hat angeboten,Sonstiges,Darf ich Ihnen/dir ein Stück Kuchen anbieten? Er hat mir eine Stelle als Verkäuferin angeboten.,"anbieten, bietet an, hat angeboten",A2.pdf
A2,Angebot,das,"teklif, kampanya",-e,Nomen,Heute sind Bananen im Angebot. Stellenangebote finden Sie in der Zeitung oder im Internet.,"das Angebot, -e",A2.pdf
A2,ander-,,"diğer, başka",,Sonstiges,"Willst du diesen Mantel? – Nein, ich möchte den anderen. Die anderen sind schon nach Hause gegangen. Bitte nicht alle auf einmal! Einer nach dem anderen.",ander-,A2.pdf
A2,ändern,,değiştirmek,"ändert, hat geändert",Verb,Das Wetter hat sich geändert. Wie kann ich mein Passwort ändern?,"ändern, ändert, hat geändert",A2.pdf
A2,anders,,"başka, farklı",,Sonstiges,Anders geht das leider nicht. Oliver ist anders als seine Freunde.,anders,A2.pdf
A2,anfangen,,başlamak,fängt an hat angefangen,Sonstiges,Hier fängt die Bahnhofstraße an. Der Unterricht fängt gleich an. Würden Sie bitte anfangen? Ich fange im Herbst meine Ausbildung an.,"anfangen, fängt an, hat angefangen",A2.pdf
A2,Anfang,der,başlangıç,¨-e,Nomen,Sie wohnt am Anfang der Straße. Wir machen Anfang Juli Urlaub.,"der Anfang, ¨-e",A2.pdf
A2,Angst,die,korku,¨-e,Nomen,Hab keine Angst! Ich habe Angst vor großen Hunden.,"die Angst, ¨-e",A2.pdf
A2,ankommen,,varmak,"kommt an, ist angekommen",Verb,Wann kommt dieser Zug in Hamburg an? Auf diesem Fahrplan steht nur die Ankunft der Züge.,"ankommen, kommt an, ist angekommen",A2.pdf
A2,Ankunft,die,varış,-¨e,Nomen,Wann kommt dieser Zug in Hamburg an? Auf diesem Fahrplan steht nur die Ankunft der Züge.,"die Ankunft, -¨e",A2.pdf
A2,anmachen,,açmak,"macht an, hat angemacht",Verb,Mach bitte das Licht an!,"anmachen, macht an, hat angemacht",A2.pdf
A2,anmelden,,"kaydolmak, kayıt yaptırmak",(sich),Sonstiges,Wo kann ich mich anmelden?,"anmelden (sich),",A2.pdf
A2,meldet an,,"kaydetmek, kayıt yaptırmak",hat angemeldet,Verb,Eine Anmeldung für diesen Kurs ist nicht mehr möglich.,"meldet an, hat angemeldet",A2.pdf
A2,Anmeldung,die,"kayıt, kayıt işlemi",-en,Nomen,Wo bekomme ich das Formular für die Anmeldung?,"die Anmeldung,-en",A2.pdf
A2,Anrufbeantworter,der,telesekreter,-,Nomen,Wir sind im Moment nicht da. Sprechen Sie bitte auf den Anrufbeantworter.,"der Anrufbeantworter, -",A2.pdf
