niveau,wort,artikel,turkce,formen,typ,beispiele,eintrag,quelle
B1,ab,,"-den itibaren, -den beri",,Sonstiges,1. Die Fahrt kostet ab Hamburg 200 Euro. 2. Ab nächster Woche bleibt unser Geschäft samstags geschlossen. 3. Mein Bruder besucht uns ab und zu.,ab,B1.pdf
B1,abbiegen,,"dönmek, sapmak","biegt ab, bog ab, ist abgebogen",Verb,An der nächsten Kreuzung müssen Sie links abbiegen.,"abbiegen, biegt ab, bog ab, ist abgebogen",B1.pdf
B1,Abbildung,die,"resim, çizim, şekil",-en,Nomen,"Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.","die Abbildung, -en",B1.pdf
B1,Abenteuer,das,macera,-,Nomen,1. Unser Urlaub war ein tolles Abenteuer. 2. Die Kinder lieben Abenteuergeschichten.,"das Abenteuer, -",B1.pdf
B1,aber,,"ama, fakat",,Sonstiges,"1. Heute kann ich nicht, aber morgen ganz bestimmt. 2. Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren. 3. Wir haben nur eine kleine Wohnung, sind aber damit zufrieden. 4. Es war sehr schön. Jetzt muss ich aber gehen. 5. Ich würde gerne kommen, aber es geht leider nicht. 6. Darf ich dich zu einem Kaffee einladen? – Aber ja, sehr gern. 7. Du spielst aber gut Klavier.",aber,B1.pdf
B1,abfahren,,"hareket etmek, kalkmak","fährt ab, fuhr ab, ist abgefahren",Verb,Unser Zug ist pünktlich abgefahren.,"abfahren, fährt ab, fuhr ab, ist abgefahren",B1.pdf
B1,Abfahrt,die,"kalkış, hareket",-en,Nomen,Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.,"die Abfahrt, -en",B1.pdf
B1,Abfall,der,"çöp, atık",¨-e,Nomen,Werfen Sie den Bioabfall bitte nicht zum normalen Müll.,"der Abfall, ¨-e",B1.pdf
B1,Abfalleimer,der,çöp kutusu,,Nomen,- Wirf das bitte in den Abfalleimer!,"der Abfalleimer,",B1.pdf
B1,Abgase,,egzoz gazları,(Pl.),Sonstiges,Abgase aus Industrie und Haushalten verschmutzen die Luft.,Abgase (Pl.),B1.pdf
B1,abgeben,,"teslim etmek, vermek","gibt ab, gab ab, hat abgegeben",Verb,Ich soll dieses Päckchen bei Herrn Müller abgeben.,"abgeben, gibt ab, gab ab, hat abgegeben",B1.pdf
B1,abhängen,,bağlı olmak,"hängt ab, hing ab, hat abgehangen (von)",Verb,"Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.","abhängen, hängt ab, hing ab, hat abgehangen (von)",B1.pdf
B1,abhängig,,bağımlı,,Sonstiges,Gregor ist finanziell von seinen Eltern abhängig.,abhängig,B1.pdf
